state_group,year,state_temperature_max_val,state_temperature_min_val,state_rainfall_val,yield,raw_names
karnataka,2005,34.50895833333333,16.91736111111111,397.37,18.0805,Karnataka
karnataka,2007,34.09305555555555,16.783125,357.66,12.30504,Karnataka
karnataka,2008,33.95944444444444,16.455555555555556,333.66,14.36964,Karnataka
karnataka,2009,34.72951388888889,16.881180555555556,433.58,14.7652,Karnataka
karnataka,2010,34.37520833333333,17.36,434.07,11.64098,Karnataka
karnataka,2011,34.3275,16.383125,446.74,12.14727,Karnataka
karnataka,2012,34.75881944444444,16.901666666666667,458.7,16.9829,Karnataka
karnataka,2013,34.31506944444445,17.06222222222222,422.13,15.21512,Karnataka
karnataka,2014,34.38444444444444,16.974444444444444,402.57,15.403740000000003,Karnataka
karnataka,2015,34.845625000000005,17.375347222222224,491.26,15.056890000000001,Karnataka
karnataka,2016,34.71875,17.098819444444445,265.7,13.831,Karnataka
karnataka,2017,34.605694444444445,17.35465277777778,444.95,18.71082,Karnataka
karnataka,2018,34.518541666666664,17.002291666666665,355.37,15.15443,Karnataka
karnataka,2019,34.69048611111111,17.490277777777777,553.35,15.48805,Karnataka
karnataka,2020,33.88173611111111,17.62847222222222,532.26,18.7862,Karnataka
karnataka,2021,33.74131944444444,17.750486111111112,463.69,14.540439999999998,Karnataka
karnataka,2022,33.84868055555555,17.13111111111111,708.48,17.81122,Karnataka
